time(s)	cellId	rnti	lcid	packetSize
0.762	2	1	4	1282
0.763	2	2	4	1282
0.763	2	1	4	1282
0.764	2	2	4	1282
0.764	2	1	4	1282
0.765	2	2	4	1282
0.765	2	1	4	1282
0.766	2	2	4	1282
0.766	2	1	4	1282
0.767	2	2	4	1282
0.767	2	1	4	1282
0.768	2	2	4	1282
0.768	2	1	4	1282
0.769	2	2	4	1282
0.769	2	1	4	1282
0.77	2	2	4	1282
0.77	2	1	4	1282
0.771	2	2	4	1282
0.771	2	1	4	1282
0.772	2	2	4	1282
0.772	2	1	4	1282
0.773	2	2	4	1282
0.773	2	1	4	1282
0.774	2	2	4	1282
0.774	2	1	4	1282
0.775	2	2	4	1282
0.775	2	1	4	1282
0.776	2	2	4	1282
0.776	2	1	4	1282
0.777	2	2	4	1282
0.777	2	1	4	1282
0.778	2	2	4	1282
0.778	2	1	4	1282
0.779	2	2	4	1282
0.779	2	1	4	1282
0.78	2	2	4	1282
0.78	2	1	4	1282
0.781	2	2	4	1282
0.781	2	1	4	1282
0.782	2	2	4	1282
0.782	2	1	4	1282
0.783	2	2	4	1282
0.783	2	1	4	1282
0.784	2	2	4	1282
0.784	2	1	4	1282
0.785	2	2	4	1282
0.785	2	1	4	1282
0.786	2	2	4	1282
0.786	2	1	4	1282
0.787	2	2	4	1282
0.787	2	1	4	1282
0.788	2	2	4	1282
0.788	2	1	4	1282
0.789	2	2	4	1282
0.789	2	1	4	1282
0.79	2	2	4	1282
0.79	2	1	4	1282
0.791	2	2	4	1282
0.791	2	1	4	1282
0.792	2	2	4	1282
0.792	2	1	4	1282
0.793	2	2	4	1282
0.793	2	1	4	1282
0.794	2	2	4	1282
0.794	2	1	4	1282
0.795	2	2	4	1282
0.795	2	1	4	1282
0.796	2	2	4	1282
0.796	2	1	4	1282
0.797	2	2	4	1282
0.797	2	1	4	1282
0.798	2	2	4	1282
0.798	2	1	4	1282
0.799	2	2	4	1282
0.799	2	1	4	1282
0.8	2	2	4	1282
0.8	2	1	4	1282
0.801	2	2	4	1282
0.801	2	1	4	1282
0.802	2	2	4	1282
0.802	2	1	4	1282
0.803	2	2	4	1282
0.803	2	1	4	1282
0.804	2	2	4	1282
0.804	2	1	4	1282
0.805	2	2	4	1282
0.805	2	1	4	1282
0.806	2	2	4	1282
0.806	2	1	4	1282
0.807	2	2	4	1282
0.807	2	1	4	1282
0.808	2	2	4	1282
0.808	2	1	4	1282
0.809	2	2	4	1282
0.809	2	1	4	1282
0.81	2	2	4	1282
0.81	2	1	4	1282
0.811	2	2	4	1282
0.811	2	1	4	1282
0.812	2	2	4	1282
0.812	2	1	4	1282
0.813	2	2	4	1282
0.813	2	1	4	1282
0.814	2	2	4	1282
0.814	2	1	4	1282
0.815	2	2	4	1282
0.815	2	1	4	1282
0.816	2	2	4	1282
0.816	2	1	4	1282
0.817	2	2	4	1282
0.817	2	1	4	1282
0.818	2	2	4	1282
0.818	2	1	4	1282
0.819	2	2	4	1282
0.819	2	1	4	1282
0.82	2	2	4	1282
0.82	2	1	4	1282
0.821	2	2	4	1282
0.821	2	1	4	1282
0.822	2	2	4	1282
0.822	2	1	4	1282
0.823	2	2	4	1282
0.823	2	1	4	1282
0.824	2	2	4	1282
0.824	2	1	4	1282
0.825	2	2	4	1282
0.825	2	1	4	1282
0.826	2	2	4	1282
0.826	2	1	4	1282
0.827	2	2	4	1282
0.827	2	1	4	1282
0.828	2	2	4	1282
0.828	2	1	4	1282
0.829	2	2	4	1282
0.829	2	1	4	1282
0.83	2	2	4	1282
0.83	2	1	4	1282
0.831	2	2	4	1282
0.831	2	1	4	1282
0.832	2	2	4	1282
0.832	2	1	4	1282
0.833	2	2	4	1282
0.833	2	1	4	1282
0.834	2	2	4	1282
0.834	2	1	4	1282
0.835	2	2	4	1282
0.835	2	1	4	1282
0.836	2	2	4	1282
0.836	2	1	4	1282
0.837	2	2	4	1282
0.837	2	1	4	1282
0.838	2	2	4	1282
0.838	2	1	4	1282
0.839	2	2	4	1282
0.839	2	1	4	1282
0.84	2	2	4	1282
0.84	2	1	4	1282
0.841	2	2	4	1282
0.841	2	1	4	1282
0.842	2	2	4	1282
0.842	2	1	4	1282
0.843	2	2	4	1282
0.843	2	1	4	1282
0.844	2	2	4	1282
0.844	2	1	4	1282
0.845	2	2	4	1282
0.845	2	1	4	1282
0.846	2	2	4	1282
0.846	2	1	4	1282
0.847	2	2	4	1282
0.847	2	1	4	1282
0.848	2	2	4	1282
0.848	2	1	4	1282
0.849	2	2	4	1282
0.849	2	1	4	1282
0.85	2	2	4	1282
0.85	2	1	4	1282
0.851	2	2	4	1282
0.851	2	1	4	1282
0.852	2	2	4	1282
0.852	2	1	4	1282
0.853	2	2	4	1282
0.853	2	1	4	1282
0.854	2	2	4	1282
0.854	2	1	4	1282
0.855	2	2	4	1282
0.855	2	1	4	1282
0.856	2	2	4	1282
0.856	2	1	4	1282
0.857	2	2	4	1282
0.857	2	1	4	1282
0.858	2	2	4	1282
0.858	2	1	4	1282
0.859	2	2	4	1282
0.859	2	1	4	1282
0.86	2	2	4	1282
0.86	2	1	4	1282
0.861	2	2	4	1282
0.861	2	1	4	1282
0.862	2	2	4	1282
0.862	2	1	4	1282
0.863	2	2	4	1282
0.863	2	1	4	1282
0.864	2	2	4	1282
0.864	2	1	4	1282
0.865	2	2	4	1282
0.865	2	1	4	1282
0.866	2	2	4	1282
0.866	2	1	4	1282
0.867	2	2	4	1282
0.867	2	1	4	1282
0.868	2	2	4	1282
0.868	2	1	4	1282
0.869	2	2	4	1282
0.869	2	1	4	1282
0.87	2	2	4	1282
0.87	2	1	4	1282
0.871	2	2	4	1282
0.871	2	1	4	1282
0.872	2	2	4	1282
0.872	2	1	4	1282
0.873	2	2	4	1282
0.873	2	1	4	1282
0.874	2	2	4	1282
0.874	2	1	4	1282
0.875	2	2	4	1282
0.875	2	1	4	1282
0.876	2	2	4	1282
0.876	2	1	4	1282
0.877	2	2	4	1282
0.877	2	1	4	1282
0.878	2	2	4	1282
0.878	2	1	4	1282
0.879	2	2	4	1282
0.879	2	1	4	1282
0.88	2	2	4	1282
0.88	2	1	4	1282
