Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	corrupt	TBler
0.578429	UL	57	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.578429	UL	57	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.578929	UL	57	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.578929	UL	57	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.582429	UL	58	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.582429	UL	58	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.582929	UL	58	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.582929	UL	58	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.583429	UL	58	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.583429	UL	58	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.583929	UL	58	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.583929	UL	58	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.587429	UL	58	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.587429	UL	58	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.587929	UL	58	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.587929	UL	58	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.588429	UL	58	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.588429	UL	58	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.588929	UL	58	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.588929	UL	58	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.592429	UL	59	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.592429	UL	59	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.592929	UL	59	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.592929	UL	59	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.593429	UL	59	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.593429	UL	59	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.593929	UL	59	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.593929	UL	59	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.597429	UL	59	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.597429	UL	59	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.597929	UL	59	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.597929	UL	59	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.598429	UL	59	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.598429	UL	59	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.598929	UL	59	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.598929	UL	59	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.602429	UL	60	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.602429	UL	60	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.602929	UL	60	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.602929	UL	60	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.603429	UL	60	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.603429	UL	60	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.603929	UL	60	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.603929	UL	60	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.607429	UL	60	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.607429	UL	60	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.607929	UL	60	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.607929	UL	60	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.608429	UL	60	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.608429	UL	60	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.608929	UL	60	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.608929	UL	60	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.612429	UL	61	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.612429	UL	61	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.612929	UL	61	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.612929	UL	61	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.613429	UL	61	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.613429	UL	61	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.613929	UL	61	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.613929	UL	61	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.617429	UL	61	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.617429	UL	61	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.617929	UL	61	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.617929	UL	61	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.618429	UL	61	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.618429	UL	61	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.618929	UL	61	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.618929	UL	61	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.622429	UL	62	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.622429	UL	62	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.622929	UL	62	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.622929	UL	62	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
