time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.688529	2	1	4	1282	0.0805286
0.689029	2	2	4	1282	0.0530286
0.689029	2	2	4	1282	0.0520286
0.689029	2	2	4	1282	0.0510286
0.692529	2	1	4	1282	0.0835286
0.692529	2	1	4	1282	0.0825286
0.693029	2	2	4	1282	0.0540286
0.693029	2	2	4	1282	0.0530286
0.693529	2	1	4	1282	0.0825286
0.694029	2	2	4	1282	0.0530286
0.694029	2	2	4	1282	0.0520286
0.697529	2	1	4	1282	0.0855286
0.697529	2	1	4	1282	0.0845286
0.698029	2	2	4	1282	0.0550286
0.698029	2	2	4	1282	0.0540286
0.698529	2	1	4	1282	0.0845286
0.698529	2	1	4	1282	0.0835286
0.699029	2	2	4	1282	0.0540286
0.699029	2	2	4	1282	0.0530286
0.702529	2	1	4	1282	0.0865286
0.702529	2	1	4	1282	0.0855286
0.703029	2	2	4	1282	0.0560286
0.703029	2	2	4	1282	0.0550286
0.703529	2	1	4	1282	0.0855286
0.703529	2	1	4	1282	0.0845286
0.704029	2	2	4	1282	0.0550286
0.704029	2	2	4	1282	0.0540286
0.704029	2	2	4	1282	0.0530286
0.707529	2	1	4	1282	0.0875286
0.707529	2	1	4	1282	0.0865286
0.708029	2	2	4	1282	0.0560286
0.708029	2	2	4	1282	0.0550286
0.708529	2	1	4	1282	0.0865286
0.708529	2	1	4	1282	0.0855286
0.709029	2	2	4	1282	0.0550286
0.709029	2	2	4	1282	0.0540286
0.712529	2	1	4	1282	0.0885286
0.712529	2	1	4	1282	0.0875286
0.713029	2	2	4	1282	0.0570286
0.713029	2	2	4	1282	0.0560286
0.713957	2	1	4	1282	0.0879571
0.713957	2	1	4	1282	0.0869571
0.713957	2	1	4	1282	0.0859571
0.717957	2	2	4	1282	0.0599571
0.717957	2	2	4	1282	0.0589571
0.717957	2	2	4	1282	0.0579571
0.717957	2	2	4	1282	0.0569571
0.718529	2	1	4	1282	0.0895286
0.718529	2	1	4	1282	0.0885286
0.719029	2	2	4	1282	0.0570286
0.719029	2	2	4	1282	0.0560286
0.722529	2	1	4	1282	0.0915286
0.722529	2	1	4	1282	0.0905286
0.723029	2	2	4	1282	0.0590286
0.723029	2	2	4	1282	0.0580286
0.723529	2	1	4	1282	0.0905286
0.723529	2	1	4	1282	0.0895286
0.724029	2	2	4	1282	0.0580286
0.724029	2	2	4	1282	0.0570286
0.727529	2	1	4	1282	0.0925286
0.727529	2	1	4	1282	0.0915286
0.728029	2	2	4	1282	0.0600286
0.728029	2	2	4	1282	0.0590286
0.728029	2	2	4	1282	0.0580286
0.728529	2	1	4	1282	0.0915286
0.728529	2	1	4	1282	0.0905286
0.729029	2	2	4	1282	0.0580286
0.729029	2	2	4	1282	0.0570286
0.732529	2	1	4	1282	0.0935286
0.733029	2	2	4	1282	0.0600286
0.733029	2	2	4	1282	0.0590286
0.733529	2	1	4	1282	0.0935286
0.733529	2	1	4	1282	0.0925286
0.734029	2	2	4	1282	0.0590286
0.734029	2	2	4	1282	0.0580286
0.737529	2	1	4	1282	0.0955286
0.737529	2	1	4	1282	0.0945286
0.738029	2	2	4	1282	0.0610286
0.738029	2	2	4	1282	0.0600286
0.738529	2	1	4	1282	0.0945286
0.738529	2	1	4	1282	0.0935286
0.739029	2	2	4	1282	0.0600286
0.739029	2	2	4	1282	0.0590286
0.742529	2	1	4	1282	0.0965286
0.742529	2	1	4	1282	0.0955286
0.743029	2	2	4	1282	0.0620286
0.743029	2	2	4	1282	0.0610286
0.743029	2	2	4	1282	0.0600286
0.743529	2	1	4	1282	0.0955286
0.743529	2	1	4	1282	0.0945286
0.744029	2	2	4	1282	0.0600286
0.744029	2	2	4	1282	0.0590286
0.747529	2	1	4	1282	0.0975286
0.747529	2	1	4	1282	0.0965286
0.748029	2	2	4	1282	0.0620286
0.748029	2	2	4	1282	0.0610286
0.748529	2	1	4	1282	0.0965286
0.748529	2	1	4	1282	0.0955286
0.749029	2	2	4	1282	0.0610286
0.749029	2	2	4	1282	0.0600286
0.752529	2	1	4	1282	0.0985286
0.753029	2	2	4	1282	0.0630286
0.753029	2	2	4	1282	0.0620286
0.753529	2	1	4	1282	0.0985286
0.753529	2	1	4	1282	0.0975286
0.754029	2	2	4	1282	0.0620286
0.754029	2	2	4	1282	0.0610286
0.754029	2	2	4	1282	0.0600286
0.757529	2	1	4	1282	0.100529
0.757529	2	1	4	1282	0.0995286
0.758029	2	2	4	1282	0.0630286
0.758029	2	2	4	1282	0.0620286
0.758529	2	1	4	1282	0.0995286
0.758529	2	1	4	1282	0.0985286
0.759029	2	2	4	1282	0.0620286
0.759029	2	2	4	1282	0.0610286
0.762529	2	1	4	1282	0.101529
0.762529	2	1	4	1282	0.100529
0.763029	2	2	4	1282	0.0640286
0.763029	2	2	4	1282	0.0630286
0.763529	2	1	4	1282	0.100529
0.763529	2	1	4	1282	0.0995286
0.764029	2	2	4	1282	0.0630286
0.764029	2	2	4	1282	0.0620286
0.767529	2	1	4	1282	0.102529
0.767529	2	1	4	1282	0.101529
0.768029	2	2	4	1282	0.0650286
0.768029	2	2	4	1282	0.0640286
0.768529	2	1	4	1282	0.101529
0.769029	2	2	4	1282	0.0640286
0.769029	2	2	4	1282	0.0630286
0.769029	2	2	4	1282	0.0620286
0.772529	2	1	4	1282	0.104529
0.772529	2	1	4	1282	0.103529
0.773029	2	2	4	1282	0.0650286
0.773029	2	2	4	1282	0.0640286
0.773529	2	1	4	1282	0.103529
0.773529	2	1	4	1282	0.102529
0.774029	2	2	4	1282	0.0640286
0.774029	2	2	4	1282	0.0630286
0.777529	2	1	4	1282	0.105529
