time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.952029	2	1	5	945	0.252726
0.952029	2	1	5	945	0.252626
0.952029	2	1	5	945	0.252526
0.952029	2	1	5	945	0.252426
0.952029	2	1	5	945	0.252326
0.9551	2	1	4	945	0.255298
0.9551	2	1	4	945	0.255198
0.9551	2	1	4	945	0.255098
0.9551	2	1	4	945	0.254998
0.9551	2	1	4	945	0.254898
0.9551	2	1	4	945	0.254798
0.9551	2	1	4	945	0.254698
0.9551	2	1	4	945	0.254598
0.9551	2	1	4	945	0.254498
0.9551	2	1	5	945	0.255298
0.9551	2	1	5	945	0.255198
0.9551	2	1	5	945	0.255098
0.9551	2	1	5	945	0.254998
0.9551	2	1	5	945	0.254898
0.9551	2	1	5	945	0.254798
0.9551	2	1	5	945	0.254698
0.9551	2	1	5	945	0.254598
0.9551	2	1	5	945	0.254498
0.9561	2	1	4	945	0.255398
0.9561	2	1	4	945	0.255298
0.9561	2	1	4	945	0.255198
0.9561	2	1	4	945	0.255098
0.9561	2	1	4	945	0.254998
0.9561	2	1	4	945	0.254898
0.9561	2	1	4	945	0.254798
0.9561	2	1	4	945	0.254698
0.9561	2	1	4	945	0.254598
0.9561	2	1	4	945	0.254498
0.9561	2	1	5	945	0.255398
0.9561	2	1	5	945	0.255298
0.9561	2	1	5	945	0.255198
0.9561	2	1	5	945	0.255098
0.9561	2	1	5	945	0.254998
0.9561	2	1	5	945	0.254898
0.9561	2	1	5	945	0.254798
0.9561	2	1	5	945	0.254698
0.9561	2	1	5	945	0.254598
0.9561	2	1	5	945	0.254498
0.957029	2	1	4	945	0.255327
0.957029	2	1	4	945	0.255227
0.957029	2	1	4	945	0.255127
0.957029	2	1	4	945	0.255027
0.957029	2	1	4	945	0.254927
0.957029	2	1	4	945	0.254827
0.957029	2	1	4	945	0.254727
0.957029	2	1	4	945	0.254627
0.957029	2	1	5	945	0.255326
0.957029	2	1	5	945	0.255226
0.957029	2	1	5	945	0.255126
0.957029	2	1	5	945	0.255026
0.957029	2	1	5	945	0.254926
0.957029	2	1	5	945	0.254826
0.957029	2	1	5	945	0.254726
0.957029	2	1	5	945	0.254626
0.9601	2	1	4	945	0.257598
0.9601	2	1	4	945	0.257498
0.9601	2	1	4	945	0.257398
0.9601	2	1	4	945	0.257298
0.9601	2	1	4	945	0.257198
0.9601	2	1	4	945	0.257098
