time(s)	cellId	rnti	lcid	packetSize
1.159	2	1	5	8247
1.162	2	1	4	8934
1.162	2	1	5	8934
1.163	2	1	4	8934
1.163	2	1	5	8934
1.164	2	1	4	8247
1.164	2	1	5	8247
1.167	2	1	4	8934
1.167	2	1	5	8934
1.168	2	1	4	8934
1.168	2	1	5	8934
1.169	2	1	4	8247
1.169	2	1	5	8247
1.172	2	1	4	8934
1.172	2	1	5	8934
1.173	2	1	4	8934
1.173	2	1	5	8934
1.174	2	1	4	8247
1.174	2	1	5	8247
1.177	2	1	4	8934
1.177	2	1	5	8934
1.178	2	1	4	8934
1.178	2	1	5	8934
1.179	2	1	4	8247
1.179	2	1	5	8247
1.182	2	1	4	8934
1.182	2	1	5	8934
1.183	2	1	4	8934
1.183	2	1	5	8934
1.184	2	1	4	8247
1.184	2	1	5	8247
1.187	2	1	4	8934
1.187	2	1	5	8934
1.188	2	1	4	8934
1.188	2	1	5	8934
1.189	2	1	4	8247
1.189	2	1	5	8247
1.192	2	1	4	8934
1.192	2	1	5	8934
1.193	2	1	4	8934
1.193	2	1	5	8934
1.194	2	1	4	8247
1.194	2	1	5	8247
1.197	2	1	4	8934
1.197	2	1	5	8934
1.198	2	1	4	8934
1.198	2	1	5	8934
1.199	2	1	4	8247
1.199	2	1	5	8247
1.202	2	1	4	8934
1.202	2	1	5	8934
1.203	2	1	4	8934
1.203	2	1	5	8934
1.204	2	1	4	8247
1.204	2	1	5	8247
1.207	2	1	4	8934
1.207	2	1	5	8934
1.208	2	1	4	8934
1.208	2	1	5	8934
1.209	2	1	4	8247
1.209	2	1	5	8247
1.212	2	1	4	8934
1.212	2	1	5	8934
1.213	2	1	4	8934
1.213	2	1	5	8934
1.214	2	1	4	8247
1.214	2	1	5	8247
1.217	2	1	4	8934
1.217	2	1	5	8934
1.218	2	1	4	8934
1.218	2	1	5	8934
1.219	2	1	4	8247
1.219	2	1	5	8247
1.222	2	1	4	8934
1.222	2	1	5	8934
1.223	2	1	4	8934
1.223	2	1	5	8934
1.224	2	1	4	8247
1.224	2	1	5	8247
1.227	2	1	4	8934
1.227	2	1	5	8934
1.228	2	1	4	8934
1.228	2	1	5	8934
1.229	2	1	4	8247
1.229	2	1	5	8247
1.232	2	1	4	8934
1.232	2	1	5	8934
1.233	2	1	4	8934
1.233	2	1	5	8934
1.234	2	1	4	8247
1.234	2	1	5	8247
1.237	2	1	4	8934
1.237	2	1	5	8934
1.238	2	1	4	8934
1.238	2	1	5	8934
1.239	2	1	4	8247
1.239	2	1	5	8247
1.242	2	1	4	8934
1.242	2	1	5	8934
1.243	2	1	4	8934
1.243	2	1	5	8934
1.244	2	1	4	8247
1.244	2	1	5	8247
1.247	2	1	4	8934
1.247	2	1	5	8934
1.248	2	1	4	8934
1.248	2	1	5	8934
