% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.794	1	0	1	2	79	8	0	6	7	14	1	0	28	2806
0.798	1	0	2	1	80	2	0	0	6	14	1	0	28	2404
0.798	1	0	1	2	80	2	0	6	7	15	1	0	28	2806
0.799	1	0	2	1	80	3	0	0	6	15	1	0	28	2404
0.799	1	0	1	2	80	3	0	6	7	14	1	0	28	2806
0.803	1	0	2	1	80	7	0	0	6	14	1	0	28	2404
0.803	1	0	1	2	80	7	0	6	7	15	1	0	28	2806
0.804	1	0	2	1	80	8	0	0	6	15	1	0	28	2404
0.804	1	0	1	2	80	8	0	6	7	14	1	0	28	2806
0.808	1	0	2	1	81	2	0	0	6	14	1	0	28	2404
0.808	1	0	1	2	81	2	0	6	7	15	1	0	28	2806
0.809	1	0	2	1	81	3	0	0	6	15	1	0	28	2404
0.809	1	0	1	2	81	3	0	6	7	14	1	0	28	2806
0.813	1	0	2	1	81	7	0	0	6	14	1	0	28	2404
0.813	1	0	1	2	81	7	0	6	7	15	1	0	28	2806
0.814	1	0	2	1	81	8	0	0	6	15	1	0	28	2404
0.814	1	0	1	2	81	8	0	6	7	14	1	0	28	2806
0.818	1	0	2	1	82	2	0	0	6	14	1	0	28	2404
0.818	1	0	1	2	82	2	0	6	7	15	1	0	28	2806
0.819	1	0	2	1	82	3	0	0	6	15	1	0	28	2404
0.819	1	0	1	2	82	3	0	6	7	14	1	0	28	2806
0.823	1	0	2	1	82	7	0	0	6	14	1	0	28	2404
0.823	1	0	1	2	82	7	0	6	7	15	1	0	28	2806
0.824	1	0	2	1	82	8	0	0	6	15	1	0	28	2404
0.824	1	0	1	2	82	8	0	6	7	14	1	0	28	2806
0.828	1	0	2	1	83	2	0	0	6	14	1	0	28	2404
0.828	1	0	1	2	83	2	0	6	7	15	1	0	28	2806
0.829	1	0	2	1	83	3	0	0	6	15	1	0	28	2404
0.829	1	0	1	2	83	3	0	6	7	14	1	0	28	2806
0.833	1	0	2	1	83	7	0	0	6	14	1	0	28	2404
0.833	1	0	1	2	83	7	0	6	7	15	1	0	28	2806
0.834	1	0	2	1	83	8	0	0	6	15	1	0	28	2404
0.834	1	0	1	2	83	8	0	6	7	14	1	0	28	2806
0.838	1	0	2	1	84	2	0	0	6	14	1	0	28	2404
0.838	1	0	1	2	84	2	0	6	7	15	1	0	28	2806
0.839	1	0	2	1	84	3	0	0	6	15	1	0	28	2404
0.839	1	0	1	2	84	3	0	6	7	14	1	0	28	2806
0.843	1	0	2	1	84	7	0	0	6	14	1	0	28	2404
0.843	1	0	1	2	84	7	0	6	7	15	1	0	28	2806
0.844	1	0	2	1	84	8	0	0	6	15	1	0	28	2404
0.844	1	0	1	2	84	8	0	6	7	14	1	0	28	2806
0.848	1	0	2	1	85	2	0	0	6	14	1	0	28	2404
0.848	1	0	1	2	85	2	0	6	7	15	1	0	28	2806
0.849	1	0	2	1	85	3	0	0	6	15	1	0	28	2404
0.849	1	0	1	2	85	3	0	6	7	14	1	0	28	2806
0.853	1	0	2	1	85	7	0	0	6	14	1	0	28	2404
0.853	1	0	1	2	85	7	0	6	7	15	1	0	28	2806
0.854	1	0	2	1	85	8	0	0	6	15	1	0	28	2404
0.854	1	0	1	2	85	8	0	6	7	14	1	0	28	2806
0.858	1	0	2	1	86	2	0	0	6	14	1	0	28	2404
0.858	1	0	1	2	86	2	0	6	7	15	1	0	28	2806
0.859	1	0	2	1	86	3	0	0	6	15	1	0	28	2404
0.859	1	0	1	2	86	3	0	6	7	14	1	0	28	2806
0.863	1	0	2	1	86	7	0	0	6	14	1	0	28	2404
0.863	1	0	1	2	86	7	0	6	7	15	1	0	28	2806
0.864	1	0	2	1	86	8	0	0	6	15	1	0	28	2404
0.864	1	0	1	2	86	8	0	6	7	14	1	0	28	2806
0.868	1	0	2	1	87	2	0	0	6	14	1	0	28	2404
0.868	1	0	1	2	87	2	0	6	7	15	1	0	28	2806
0.869	1	0	2	1	87	3	0	0	6	15	1	0	28	2404
0.869	1	0	1	2	87	3	0	6	7	14	1	0	28	2806
0.873	1	0	2	1	87	7	0	0	6	14	1	0	28	2404
0.873	1	0	1	2	87	7	0	6	7	15	1	0	28	2806
0.874	1	0	2	1	87	8	0	0	6	15	1	0	28	2404
0.874	1	0	1	2	87	8	0	6	7	14	1	0	28	2806
0.878	1	0	2	1	88	2	0	0	6	14	1	0	28	2404
0.878	1	0	1	2	88	2	0	6	7	15	1	0	28	2806
0.879	1	0	2	1	88	3	0	0	6	15	1	0	28	2404
0.879	1	0	1	2	88	3	0	6	7	14	1	0	28	2806
0.883	1	0	2	1	88	7	0	0	6	14	1	0	28	2404
0.883	1	0	1	2	88	7	0	6	7	15	1	0	28	2806
0.884	1	0	2	1	88	8	0	0	6	15	1	0	28	2404
0.884	1	0	1	2	88	8	0	6	7	14	1	0	28	2806
0.888	1	0	2	1	89	2	0	0	6	14	1	0	28	2404
0.888	1	0	1	2	89	2	0	6	7	15	1	0	28	2806
0.889	1	0	2	1	89	3	0	0	6	15	1	0	28	2404
0.889	1	0	1	2	89	3	0	6	7	14	1	0	28	2806
0.893	1	0	2	1	89	7	0	0	6	14	1	0	28	2404
0.893	1	0	1	2	89	7	0	6	7	15	1	0	28	2806
0.894	1	0	2	1	89	8	0	0	6	15	1	0	28	2404
0.894	1	0	1	2	89	8	0	6	7	14	1	0	28	2806
0.898	1	0	2	1	90	2	0	0	6	14	1	0	28	2404
0.898	1	0	1	2	90	2	0	6	7	15	1	0	28	2806
0.899	1	0	2	1	90	3	0	0	6	15	1	0	28	2404
0.899	1	0	1	2	90	3	0	6	7	14	1	0	28	2806
0.903	1	0	2	1	90	7	0	0	6	14	1	0	28	2404
0.903	1	0	1	2	90	7	0	6	7	15	1	0	28	2806
0.904	1	0	2	1	90	8	0	0	6	15	1	0	28	2404
0.904	1	0	1	2	90	8	0	6	7	14	1	0	28	2806
0.908	1	0	2	1	91	2	0	0	6	14	1	0	28	2404
0.908	1	0	1	2	91	2	0	6	7	15	1	0	28	2806
0.909	1	0	2	1	91	3	0	0	12	15	1	0	28	4809
0.913	1	0	1	2	91	7	0	0	12	15	1	0	28	4809
