Time	CellId	RNTI	BWPId	SINR(dB)
0.761929	2	1	0	40.8507
0.761929	4	1	2	41.2644
0.765	2	1	0	40.8507
0.765	4	1	2	41.2644
0.766	2	1	0	40.8507
0.766	4	1	2	41.2644
0.766929	2	1	0	40.8507
0.766929	4	1	2	41.2644
0.77	2	1	0	40.8507
0.77	4	1	2	41.2644
0.771	2	1	0	40.8507
0.771	4	1	2	41.2644
0.771929	2	1	0	40.8507
0.771929	4	1	2	41.2644
0.775	2	1	0	40.8507
0.775	4	1	2	41.2644
0.776	2	1	0	40.8507
0.776	4	1	2	41.2644
0.776929	2	1	0	40.8507
0.776929	4	1	2	41.2644
0.78	2	1	0	40.8507
0.78	4	1	2	41.2644
0.781	2	1	0	40.8507
0.781	4	1	2	41.2644
0.781929	2	1	0	40.8507
0.781929	4	1	2	41.2644
0.785	2	1	0	40.8507
0.785	4	1	2	41.2644
0.786	2	1	0	40.8507
0.786	4	1	2	41.2644
0.786929	2	1	0	40.8507
0.786929	4	1	2	41.2644
0.79	2	1	0	40.8507
0.79	4	1	2	41.2644
0.791	2	1	0	40.8507
0.791	4	1	2	41.2644
0.791929	2	1	0	40.8507
0.791929	4	1	2	41.2644
0.795	2	1	0	40.8507
0.795	4	1	2	41.2644
0.796	2	1	0	40.8507
0.796	4	1	2	41.2644
0.796929	2	1	0	40.8507
0.796929	4	1	2	41.2644
0.8	2	1	0	40.8507
0.8	4	1	2	41.2644
0.801	2	1	0	40.8507
0.801	4	1	2	41.2644
0.801929	2	1	0	40.8507
0.801929	4	1	2	41.2644
0.805	2	1	0	40.8507
0.805	4	1	2	41.2644
0.806	2	1	0	40.8507
0.806	4	1	2	41.2644
0.806929	2	1	0	40.8507
0.806929	4	1	2	41.2644
0.81	2	1	0	40.8507
0.81	4	1	2	41.2644
0.811	2	1	0	40.8507
0.811	4	1	2	41.2644
0.811929	2	1	0	40.8507
0.811929	4	1	2	41.2644
0.815	2	1	0	40.8507
0.815	4	1	2	41.2644
0.816	2	1	0	40.8507
0.816	4	1	2	41.2644
0.816929	2	1	0	40.8507
0.816929	4	1	2	41.2644
0.82	2	1	0	40.8507
0.82	4	1	2	41.2644
0.821	2	1	0	40.8507
0.821	4	1	2	41.2644
0.821929	2	1	0	40.8507
0.821929	4	1	2	41.2644
0.825	2	1	0	40.8507
0.825	4	1	2	41.2644
0.826	2	1	0	40.8507
0.826	4	1	2	41.2644
0.826929	2	1	0	40.8507
0.826929	4	1	2	41.2644
0.83	2	1	0	40.8507
0.83	4	1	2	41.2644
0.831	2	1	0	40.8507
0.831	4	1	2	41.2644
0.831929	2	1	0	40.8507
0.831929	4	1	2	41.2644
0.835	2	1	0	40.8507
0.835	4	1	2	41.2644
0.836	2	1	0	40.8507
0.836	4	1	2	41.2644
0.836929	2	1	0	40.8507
0.836929	4	1	2	41.2644
0.84	2	1	0	40.8507
0.84	4	1	2	41.2644
0.841	2	1	0	40.8507
0.841	4	1	2	41.2644
0.841929	2	1	0	40.8507
0.841929	4	1	2	41.2644
0.845	2	1	0	40.8507
0.845	4	1	2	41.2644
0.846	2	1	0	40.8507
0.846	4	1	2	41.2644
0.846929	2	1	0	40.8507
0.846929	4	1	2	41.2644
0.85	2	1	0	40.8507
0.85	4	1	2	41.2644
0.851	2	1	0	40.8507
0.851	4	1	2	41.2644
0.851929	2	1	0	40.8507
0.851929	4	1	2	41.2644
0.855	2	1	0	40.8507
0.855	4	1	2	41.2644
0.856	2	1	0	40.8507
0.856	4	1	2	41.2644
0.856929	2	1	0	40.8507
0.856929	4	1	2	41.2644
0.86	2	1	0	40.8507
0.86	4	1	2	41.2644
0.861	2	1	0	40.8507
0.861	4	1	2	41.2644
0.861929	2	1	0	40.8507
0.861929	4	1	2	41.2644
0.865	2	1	0	40.8507
0.865	4	1	2	41.2644
0.866	2	1	0	40.8507
0.866	4	1	2	41.2644
0.866929	2	1	0	40.8507
0.866929	4	1	2	41.2644
0.87	2	1	0	40.8507
0.87	4	1	2	41.2644
0.871	2	1	0	40.8507
0.871	4	1	2	41.2644
0.871929	2	1	0	40.8507
0.871929	4	1	2	41.2644
0.875	2	1	0	40.8507
0.875	4	1	2	41.2644
0.876	2	1	0	40.8507
0.876	4	1	2	41.2644
0.876929	2	1	0	40.8507
0.876929	4	1	2	41.2644
0.88	2	1	0	40.8507
0.88	4	1	2	41.2644
0.881	2	1	0	40.8507
0.881	4	1	2	41.2644
